Question,Answer,Category,Difficulty
What is a variable in programming? (Q505),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What are data types in programming? (Q506),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is a web framework? (Q507),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the difference between a compiler and an interpreter? (Q508),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is two-factor authentication? (Q509),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is SQL used for? (Q510),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is HTML? (Q511),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is overfitting in machine learning? (Q512),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a primary key in a database? (Q513),A primary key uniquely identifies each record in a table.,General,Easy
What is JavaScript used for? (Q514),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Difference between supervised and unsupervised learning? (Q515),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is two-factor authentication? (Q516),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a neural network? (Q517),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is HTML? (Q518),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a web framework? (Q519),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is artificial intelligence? (Q520),AI is the simulation of human intelligence processes by machines.,General,Easy
What is machine learning? (Q521),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a neural network? (Q522),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the use of CSS? (Q523),CSS is used to style and layout web pages.,General,Easy
Explain normalization in databases. (Q524),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a neural network? (Q525),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a variable in programming? (Q526),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a primary key in a database? (Q527),A primary key uniquely identifies each record in a table.,General,Easy
Define a firewall. (Q528),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is phishing? (Q529),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is JavaScript used for? (Q530),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Difference between supervised and unsupervised learning? (Q531),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Difference between frontend and backend? (Q532),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is the use of CSS? (Q533),CSS is used to style and layout web pages.,General,Easy
What is a brute force attack? (Q534),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is HTML? (Q535),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Difference between frontend and backend? (Q536),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is two-factor authentication? (Q537),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Define a firewall. (Q538),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a web framework? (Q539),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is phishing? (Q540),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain normalization in databases. (Q541),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a web framework? (Q542),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is phishing? (Q543),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Difference between supervised and unsupervised learning? (Q544),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a variable in programming? (Q545),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a neural network? (Q546),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the difference between a compiler and an interpreter? (Q547),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a primary key in a database? (Q548),A primary key uniquely identifies each record in a table.,General,Easy
Explain normalization in databases. (Q549),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Explain polymorphism in OOP. (Q550),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Define a firewall. (Q551),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is object-oriented programming? (Q552),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is object-oriented programming? (Q553),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a primary key in a database? (Q554),A primary key uniquely identifies each record in a table.,General,Easy
What is HTML? (Q555),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is two-factor authentication? (Q556),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a web framework? (Q557),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between frontend and backend? (Q558),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is overfitting in machine learning? (Q559),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is SQL used for? (Q560),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is machine learning? (Q561),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is the difference between SQL and NoSQL? (Q562),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is artificial intelligence? (Q563),AI is the simulation of human intelligence processes by machines.,General,Easy
What is JavaScript used for? (Q564),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Explain the concept of encryption. (Q565),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the use of CSS? (Q566),CSS is used to style and layout web pages.,General,Easy
What is a web framework? (Q567),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the difference between a compiler and an interpreter? (Q568),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is two-factor authentication? (Q569),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is a variable in programming? (Q570),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is machine learning? (Q571),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is JavaScript used for? (Q572),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is JavaScript used for? (Q573),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is SQL used for? (Q574),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is HTML? (Q575),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is HTML? (Q576),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Difference between supervised and unsupervised learning? (Q577),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
Explain polymorphism in OOP. (Q578),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
Explain normalization in databases. (Q579),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Define a firewall. (Q580),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q581),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
Difference between frontend and backend? (Q582),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is SQL used for? (Q583),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between SQL and NoSQL? (Q584),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is JavaScript used for? (Q585),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is overfitting in machine learning? (Q586),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a neural network? (Q587),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is SQL used for? (Q588),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a primary key in a database? (Q589),A primary key uniquely identifies each record in a table.,General,Easy
Difference between frontend and backend? (Q590),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Define a firewall. (Q591),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q592),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is two-factor authentication? (Q593),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is artificial intelligence? (Q594),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the difference between SQL and NoSQL? (Q595),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a variable in programming? (Q596),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is SQL used for? (Q597),SQL is used for managing and manipulating relational databases.,Databases,Easy
What are data types in programming? (Q598),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Explain normalization in databases. (Q599),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Explain the concept of encryption. (Q600),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is the use of CSS? (Q601),CSS is used to style and layout web pages.,General,Easy
What is the use of CSS? (Q602),CSS is used to style and layout web pages.,General,Easy
What is overfitting in machine learning? (Q603),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is phishing? (Q604),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain normalization in databases. (Q605),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is object-oriented programming? (Q606),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is a brute force attack? (Q607),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is JavaScript used for? (Q608),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q609),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a brute force attack? (Q610),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is a variable in programming? (Q611),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is SQL used for? (Q612),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between SQL and NoSQL? (Q613),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is artificial intelligence? (Q614),AI is the simulation of human intelligence processes by machines.,General,Easy
What is machine learning? (Q615),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a web framework? (Q616),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a web framework? (Q617),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain normalization in databases. (Q618),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
Define a firewall. (Q619),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Difference between frontend and backend? (Q620),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
Explain polymorphism in OOP. (Q621),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is artificial intelligence? (Q622),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a primary key in a database? (Q623),A primary key uniquely identifies each record in a table.,General,Easy
Explain the concept of encryption. (Q624),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is machine learning? (Q625),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
What is a foreign key? (Q626),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a brute force attack? (Q627),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is overfitting in machine learning? (Q628),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Explain the concept of recursion. (Q629),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is HTML? (Q630),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Define a firewall. (Q631),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain the concept of recursion. (Q632),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is artificial intelligence? (Q633),AI is the simulation of human intelligence processes by machines.,General,Easy
What is HTML? (Q634),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is JavaScript used for? (Q635),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Difference between supervised and unsupervised learning? (Q636),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is HTML? (Q637),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a primary key in a database? (Q638),A primary key uniquely identifies each record in a table.,General,Easy
What are data types in programming? (Q639),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Define a firewall. (Q640),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is the difference between a compiler and an interpreter? (Q641),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What are data types in programming? (Q642),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is a primary key in a database? (Q643),A primary key uniquely identifies each record in a table.,General,Easy
Explain normalization in databases. (Q644),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is the use of CSS? (Q645),CSS is used to style and layout web pages.,General,Easy
Difference between frontend and backend? (Q646),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is JavaScript used for? (Q647),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the use of CSS? (Q648),CSS is used to style and layout web pages.,General,Easy
What is a brute force attack? (Q649),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain normalization in databases. (Q650),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is artificial intelligence? (Q651),AI is the simulation of human intelligence processes by machines.,General,Easy
What is a primary key in a database? (Q652),A primary key uniquely identifies each record in a table.,General,Easy
Explain the concept of encryption. (Q653),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Difference between frontend and backend? (Q654),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is SQL used for? (Q655),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a neural network? (Q656),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain normalization in databases. (Q657),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is artificial intelligence? (Q658),AI is the simulation of human intelligence processes by machines.,General,Easy
Explain normalization in databases. (Q659),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is overfitting in machine learning? (Q660),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is overfitting in machine learning? (Q661),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a brute force attack? (Q662),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is SQL used for? (Q663),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is a foreign key? (Q664),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
Explain normalization in databases. (Q665),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is artificial intelligence? (Q666),AI is the simulation of human intelligence processes by machines.,General,Easy
Define a firewall. (Q667),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q668),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a web framework? (Q669),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Explain polymorphism in OOP. (Q670),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is overfitting in machine learning? (Q671),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is SQL used for? (Q672),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is HTML? (Q673),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is a variable in programming? (Q674),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is a neural network? (Q675),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is the use of CSS? (Q676),CSS is used to style and layout web pages.,General,Easy
Difference between supervised and unsupervised learning? (Q677),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is a brute force attack? (Q678),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain normalization in databases. (Q679),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is SQL used for? (Q680),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is object-oriented programming? (Q681),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the difference between SQL and NoSQL? (Q682),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a neural network? (Q683),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of encryption. (Q684),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is object-oriented programming? (Q685),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is HTML? (Q686),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is the use of CSS? (Q687),CSS is used to style and layout web pages.,General,Easy
What is a brute force attack? (Q688),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Difference between supervised and unsupervised learning? (Q689),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is SQL used for? (Q690),SQL is used for managing and manipulating relational databases.,Databases,Easy
Explain the concept of recursion. (Q691),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a foreign key? (Q692),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is HTML? (Q693),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
Explain the concept of recursion. (Q694),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is a primary key in a database? (Q695),A primary key uniquely identifies each record in a table.,General,Easy
What is a web framework? (Q696),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
Difference between supervised and unsupervised learning? (Q697),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is object-oriented programming? (Q698),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the use of CSS? (Q699),CSS is used to style and layout web pages.,General,Easy
What is artificial intelligence? (Q700),AI is the simulation of human intelligence processes by machines.,General,Easy
Define a firewall. (Q701),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is a foreign key? (Q702),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a neural network? (Q703),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain normalization in databases. (Q704),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is HTML? (Q705),HTML is the standard markup language used to create web pages.,Web Technologies,Easy
What is overfitting in machine learning? (Q706),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Explain the concept of encryption. (Q707),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
Explain the concept of encryption. (Q708),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is JavaScript used for? (Q709),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is a variable in programming? (Q710),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is the use of CSS? (Q711),CSS is used to style and layout web pages.,General,Easy
Explain polymorphism in OOP. (Q712),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is JavaScript used for? (Q713),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is artificial intelligence? (Q714),AI is the simulation of human intelligence processes by machines.,General,Easy
What is two-factor authentication? (Q715),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Difference between supervised and unsupervised learning? (Q716),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is phishing? (Q717),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a web framework? (Q718),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is the difference between a compiler and an interpreter? (Q719),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
Define a firewall. (Q720),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain polymorphism in OOP. (Q721),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is machine learning? (Q722),Machine learning is a subset of AI that enables systems to learn from data.,General,Easy
Difference between frontend and backend? (Q723),"Frontend is the part users interact with, backend handles the logic and database.",Web Development,Medium
What is a variable in programming? (Q724),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is two-factor authentication? (Q725),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What are data types in programming? (Q726),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
Define a firewall. (Q727),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain the concept of encryption. (Q728),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is SQL used for? (Q729),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is phishing? (Q730),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a brute force attack? (Q731),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is two-factor authentication? (Q732),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
Explain normalization in databases. (Q733),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is the use of CSS? (Q734),CSS is used to style and layout web pages.,General,Easy
What is a primary key in a database? (Q735),A primary key uniquely identifies each record in a table.,General,Easy
What is the difference between a compiler and an interpreter? (Q736),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is the difference between SQL and NoSQL? (Q737),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the use of CSS? (Q738),CSS is used to style and layout web pages.,General,Easy
What is a brute force attack? (Q739),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Define a firewall. (Q740),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is the difference between a compiler and an interpreter? (Q741),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is phishing? (Q742),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is the difference between SQL and NoSQL? (Q743),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is the use of CSS? (Q744),CSS is used to style and layout web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q745),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is overfitting in machine learning? (Q746),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is JavaScript used for? (Q747),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
What is the difference between SQL and NoSQL? (Q748),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a variable in programming? (Q749),"A variable is a storage location paired with an associated symbolic name, which contains some known or unknown quantity of information.",Programming Basics,Easy
What is SQL used for? (Q750),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is the difference between a compiler and an interpreter? (Q751),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is a foreign key? (Q752),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is overfitting in machine learning? (Q753),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
Define a firewall. (Q754),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
What is overfitting in machine learning? (Q755),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a neural network? (Q756),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a brute force attack? (Q757),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
Explain the concept of recursion. (Q758),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain normalization in databases. (Q759),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is phishing? (Q760),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
Explain normalization in databases. (Q761),Normalization is organizing data to reduce redundancy and improve data integrity.,General,Medium
What is a neural network? (Q762),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is a foreign key? (Q763),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a web framework? (Q764),A web framework is a software tool that simplifies web development.,Web Frameworks,Medium
What is a neural network? (Q765),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
What is SQL used for? (Q766),SQL is used for managing and manipulating relational databases.,Databases,Easy
What is artificial intelligence? (Q767),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the difference between a compiler and an interpreter? (Q768),"A compiler translates the entire code at once, while an interpreter translates code line-by-line during execution.",General,Medium
What is phishing? (Q769),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is JavaScript used for? (Q770),JavaScript adds interactivity and dynamic behavior to web pages.,General,Easy
Explain polymorphism in OOP. (Q771),Polymorphism allows objects to be treated as instances of their parent class rather than their actual class.,General,Hard
What is a neural network? (Q772),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
Explain the concept of recursion. (Q773),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
What is object-oriented programming? (Q774),OOP is a programming paradigm based on the concept of 'objects' which contain data and methods.,Programming Basics,Medium
What is the use of CSS? (Q775),CSS is used to style and layout web pages.,General,Easy
What is a brute force attack? (Q776),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is the difference between SQL and NoSQL? (Q777),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is overfitting in machine learning? (Q778),Overfitting is when a model learns noise in the training data instead of the actual patterns.,General,Medium
What is a foreign key? (Q779),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is artificial intelligence? (Q780),AI is the simulation of human intelligence processes by machines.,General,Easy
Difference between supervised and unsupervised learning? (Q781),"Supervised learning uses labeled data, while unsupervised learning works with unlabeled data.",General,Medium
What is the use of CSS? (Q782),CSS is used to style and layout web pages.,General,Easy
What is a foreign key? (Q783),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is a foreign key? (Q784),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
Explain the concept of encryption. (Q785),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is a brute force attack? (Q786),A brute force attack tries every possible password combination to gain access to a system.,General,Hard
What is artificial intelligence? (Q787),AI is the simulation of human intelligence processes by machines.,General,Easy
What is the difference between SQL and NoSQL? (Q788),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
Define a firewall. (Q789),A firewall is a network security system that monitors and controls incoming and outgoing traffic.,General,Easy
Explain the concept of recursion. (Q790),Recursion is a method where a function calls itself to solve a smaller instance of a problem.,General,Medium
Explain the concept of encryption. (Q791),Encryption is the process of converting information into code to prevent unauthorized access.,General,Medium
What is phishing? (Q792),Phishing is a type of cyber attack that uses disguised emails to trick people into revealing personal information.,General,Easy
What is a foreign key? (Q793),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What is two-factor authentication? (Q794),It's a security process in which users provide two different authentication factors to verify their identity.,General,Medium
What is the difference between SQL and NoSQL? (Q795),"SQL is relational and uses structured schema, while NoSQL is non-relational and schema-less.",Databases,Medium
What is a foreign key? (Q796),A foreign key is a field in one table that uniquely identifies a row in another table.,General,Medium
What are data types in programming? (Q797),"Data types specify the type of data that a variable can hold, such as integer, float, string, etc.",Programming Basics,Easy
What is a neural network? (Q798),A neural network is a set of algorithms modeled after the human brain that recognizes patterns.,General,Hard
